E,f1,f2,μρpe,μρci,μρtot,μρK,λ
0.006209957,1.26929,0,0,67573e-10,67573e-10,0,199.7
0.006257232,1.66855,0,0,70373e-10,70373e-10,0,198.1
0.006305007,2.31139,0,0,73292e-10,73292e-10,0,196.6
0.006330354,3.07745,0,0,74878e-10,74878e-10,0,195.9
0.006353005,3.18301,0.94416,201910,76317e-10,201910,0,195.2
0.006368374,3.42247,0.95617,203980,77306e-10,203980,0,194.7
0.006378545,3.94072,0.96419,205360,77965e-10,205360,0,194.4
0.006416855,2.90422,2.9193,618080,80488e-10,618080,0,193.2
0.006463425,2.33032,3.0314,637190,83639e-10,637190,0,191.8
0.006512629,2.02658,3.1536,657870,8707e-9,657870,0,190.4
0.01069,6.73661,3.073,390540,10244e-8,390540,0,116
0.01142761,6.70372,2.2393,266220,13939e-8,266220,0,108.5
0.01221612,6.52061,1.6032,178300,18862e-8,178300,0,101.5
0.01305903,6.2759,1.1415,118750,25382e-8,118750,0,94.94
0.0139601,6.02132,0.81618,79430,3397e-7,79430,0,88.81
0.01417226,5.96539,0.75768,72633,36255e-8,72633,0,87.48
0.01438918,5.91002,0.70351,66423,38702e-8,66423,0,86.16
0.01444703,5.89549,0.68995,64882,39373e-8,64882,0,85.82
0.0145338,5.87424,0.67052,62678,40396e-8,62678,0,85.31
0.01475072,5.82233,0.62463,57530,43033e-8,57530,0,84.05
0.01492335,5.7824,0.59118,53820,45215e-8,53820,0,83.08
0.01595306,5.56893,0.43681,37199,59858e-8,37199,0,77.72
0.01705382,5.382,0.33202,26450,78817e-8,26450,0,72.7
0.01823053,5.21926,0.26246,19559,0.0010323,19559,0,68.01
0.01948844,5.07806,0.21892,15262,0.0013448,15262,0,63.62
0.02083314,4.95436,0.19555,12752,0.0017427,12752,0,59.51
0.02227063,4.84692,0.18825,11484,0.0022466,11484,0,55.67
0.0238073,4.75458,0.19364,11050,0.002881,11050,0,52.08
0.02545001,4.67639,0.20852,11132,0.0036756,11132,0,48.72
0.02720606,4.61122,0.22988,11479,0.0046652,11479,0,45.57
0.02908327,4.55762,0.25483,11904,0.0058911,11904,0,42.63
0.03109002,4.51357,0.28079,12270,0.0074016,12270,0,39.88
0.03323523,4.47659,0.30586,12503,0.0092526,12503,0,37.31
0.03552846,4.44405,0.32885,12575,0.011509,12575,0,34.9
0.03797993,4.41334,0.34935,12496,0.014244,12496,0,32.64
0.04060054,4.38215,0.36723,12288,0.017543,12288,0,30.54
0.04340198,4.34843,0.38272,11980,0.021501,11980,0,28.57
0.04639671,4.30977,0.39627,11603,0.026223,11603,0,26.72
0.04959809,4.26427,0.40847,11189,0.031829,11189,0,25
0.05302035,4.20979,0.42008,10764,0.038449,10764,0,23.38
0.05667876,4.14493,0.43148,10342,0.046225,10342,0,21.87
0.06058959,4.067,0.44289,9930.7,0.055312,9930.8,0,20.46
0.06477028,3.97288,0.45446,9532.5,0.065876,9532.6,0,19.14
0.06923942,3.85846,0.46625,9148.6,0.078093,9148.7,0,17.91
0.07401695,3.71823,0.4782,8777.3,0.092151,8777.4,0,16.75
0.07912411,3.54439,0.49011,8415.3,0.10824,8415.4,0,15.67
0.08458368,3.32567,0.50174,8058.9,0.12657,8059,0,14.66
0.09041995,3.04495,0.51277,7704.4,0.14733,7704.5,0,13.71
0.09665893,2.67477,0.52288,7349.3,0.17073,7349.5,0,12.83
0.1033284,2.16732,0.53177,6991.7,0.19697,6991.9,0,12
0.1104581,1.42815,0.53914,6631.2,0.22625,6631.4,0,11.22
0.1180797,0.226515,0.54479,6268.2,0.25875,6268.5,0,10.5
0.1262272,2.33819,0.53712,5781,0.29463,5781.3,0,9.822
0.129556,4.8695,0.53236,5582.5,0.30958,5582.8,0,9.57
0.131539,9.24896,0.52939,5467.8,0.31856,5468.1,0,9.426
0.1320678,14.359,0.52859,5437.6,0.32096,5437.9,0,9.388
0.132861,9.2459,10.516,107530,0.32457,107530,0,9.332
0.1349368,4.70611,10.551,106230,0.33406,106230,0,9.188
0.1442475,0.239838,10.704,100820,0.37715,100820,0,8.595
0.1542005,2.55586,10.79,95065,0.424,95065,0,8.04
0.1648404,4.24825,10.709,88257,0.47468,88257,0,7.521
0.1762144,5.53947,10.481,80809,0.52921,80810,0,7.036
0.185514,6.11355,10.223,74867,0.57387,74868,0,6.683
0.1883732,5.89518,10.134,73090,0.58758,73091,0,6.582
0.1891107,5.40553,10.111,72637,0.59112,72638,0,6.556
0.1902465,6.07332,11.179,79834,0.59656,79835,0,6.517
0.193086,6.81272,11.093,78054,0.61016,78055,0,6.421
0.2013709,7.90149,10.828,73050,0.64973,73051,0,6.157
0.2152655,9.14404,10.352,65334,0.71556,65335,0,5.76
0.2301188,10.1493,9.8221,57988,0.78489,57989,0,5.388
0.245997,10.9897,9.2561,51119,0.85753,51120,0,5.04
0.2629708,11.6948,8.6714,44799,0.9332,44800,0,4.715
0.2811158,12.2841,8.0814,39056,1.0116,39057,0,4.41
0.3005128,12.7723,7.4974,33895,1.0923,33896,0,4.126
0.3212482,13.1729,6.9286,29302,1.175,29303,0,3.859
0.3434143,13.4977,6.3813,25245,1.2591,25246,0,3.61
0.3671099,13.7575,5.8599,21686,1.3442,21687,0,3.377
0.3924405,13.9617,5.3671,18580,1.4297,18581,0,3.159
0.4195189,14.1172,4.9045,15883,1.5151,15885,0,2.955
0.4484657,14.2345,4.4727,13549,1.5996,13551,0,2.765
0.4794098,14.3183,4.0715,11538,1.6828,11540,0,2.586
0.5124891,14.3744,3.7002,9809.1,1.764,9810.9,0,2.419
0.5478508,14.4075,3.3577,8326.4,1.8426,8328.2,0,2.263
0.5856525,14.423,3.0418,7056.2,1.9179,7058.1,0,2.117
0.6260625,14.4202,2.7517,5971.2,1.9894,5973.2,0,1.98
0.6692609,14.4036,2.4862,5046.9,2.0565,5049,0,1.853
0.7154399,14.3758,2.2441,4261.4,2.1186,4263.5,0,1.733
0.7648052,14.339,2.0239,3595.2,2.1753,3597.4,0,1.621
